,quarter,minute,diff,prob_win,n,text,key
0,1,0,-26,0.0,1,"0 minutes left in quarter 1
Score margin = -26
Probability of win = 0
Sample size = 1",10-26
1,1,0,-25,0.0,1,"0 minutes left in quarter 1
Score margin = -25
Probability of win = 0
Sample size = 1",10-25
2,1,0,-24,0.0,2,"0 minutes left in quarter 1
Score margin = -24
Probability of win = 0
Sample size = 2",10-24
3,1,0,-23,0.0,5,"0 minutes left in quarter 1
Score margin = -23
Probability of win = 0
Sample size = 5",10-23
4,1,0,-22,0.142857142857143,14,"0 minutes left in quarter 1
Score margin = -22
Probability of win = 0.14
Sample size = 14",10-22
5,1,0,-21,0.0666666666666667,15,"0 minutes left in quarter 1
Score margin = -21
Probability of win = 0.07
Sample size = 15",10-21
6,1,0,-20,0.111111111111111,27,"0 minutes left in quarter 1
Score margin = -20
Probability of win = 0.11
Sample size = 27",10-20
7,1,0,-19,0.0714285714285714,28,"0 minutes left in quarter 1
Score margin = -19
Probability of win = 0.07
Sample size = 28",10-19
8,1,0,-18,0.0975609756097561,41,"0 minutes left in quarter 1
Score margin = -18
Probability of win = 0.1
Sample size = 41",10-18
9,1,0,-17,0.09375,64,"0 minutes left in quarter 1
Score margin = -17
Probability of win = 0.09
Sample size = 64",10-17
10,1,0,-16,0.126984126984127,63,"0 minutes left in quarter 1
Score margin = -16
Probability of win = 0.13
Sample size = 63",10-16
11,1,0,-15,0.180555555555556,72,"0 minutes left in quarter 1
Score margin = -15
Probability of win = 0.18
Sample size = 72",10-15
12,1,0,-14,0.24,75,"0 minutes left in quarter 1
Score margin = -14
Probability of win = 0.24
Sample size = 75",10-14
13,1,0,-13,0.194444444444444,108,"0 minutes left in quarter 1
Score margin = -13
Probability of win = 0.19
Sample size = 108",10-13
14,1,0,-12,0.224,125,"0 minutes left in quarter 1
Score margin = -12
Probability of win = 0.22
Sample size = 125",10-12
15,1,0,-11,0.263157894736842,171,"0 minutes left in quarter 1
Score margin = -11
Probability of win = 0.26
Sample size = 171",10-11
